"SourceFile","ID","CreateDate","Duration","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour","URL","Working"
"meta-BQ97NR3FGlWY.json","BQ97NR3FGlWY","2021:01:06 21:01:23","28.52 s",38.8859,-77.0076,28.52,2021,1,6,21,"https://video.parler.com/BQ/97/BQ97NR3FGlWY.mp4",TRUE
"meta-bqc61J4Nsg9a.json","bqc61J4Nsg9a","2021:01:06 18:34:10","23.82 s",38.9016,-77.0386,23.82,2021,1,6,18,"https://video.parler.com/bq/c6/bqc61J4Nsg9a.mp4",TRUE
"meta-BVo7j7cX5sF9.json","BVo7j7cX5sF9","2021:01:06 15:32:59","0:00:54",38.8917,-77.0367,54,2021,1,6,15,"https://video.parler.com/BV/o7/BVo7j7cX5sF9.mp4",TRUE
"meta-bVPcTXidhYjP.json","bVPcTXidhYjP","2021:01:06 22:07:39","0:00:31",38.8896,-77.0102,31,2021,1,6,22,"https://video.parler.com/bV/Pc/bVPcTXidhYjP.mp4",TRUE
"meta-BziLuY5elmb1.json","BziLuY5elmb1","2021:01:06 04:44:08","16.45 s",38.9013,-77.0365,16.45,2021,1,6,4,"https://video.parler.com/Bz/iL/BziLuY5elmb1.mp4",TRUE
"meta-c0nIoRasIm5z.json","c0nIoRasIm5z","2021:01:06 20:42:18","24.67 s",38.8898,-77.0083,24.67,2021,1,6,20,"https://video.parler.com/c0/nI/c0nIoRasIm5z.mp4",TRUE
"meta-C4IM4xTcxLWH.json","C4IM4xTcxLWH","2021:01:06 18:40:26","26.35 s",38.8899,-77.0109,26.35,2021,1,6,18,"https://video.parler.com/C4/IM/C4IM4xTcxLWH.mp4",TRUE
"meta-c8OcZF1R9C8W.json","c8OcZF1R9C8W","2021:01:06 18:20:07","22.50 s",38.8916,-77.0183,22.5,2021,1,6,18,"https://video.parler.com/c8/Oc/c8OcZF1R9C8W.mp4",TRUE
"meta-CBjQ5bkcprs4.json","CBjQ5bkcprs4","2021:01:06 19:24:58","0:00:34",38.8916,-77.0125,34,2021,1,6,19,"https://video.parler.com/CB/jQ/CBjQ5bkcprs4.mp4",TRUE
"meta-cDQaoCt4Nqsr.json","cDQaoCt4Nqsr","2021:01:06 22:08:15","0:04:15",38.8893,-77.0172,255,2021,1,6,22,"https://video.parler.com/cD/Qa/cDQaoCt4Nqsr.mp4",TRUE
