SourceFile;ID;CreateDate;Duration;Latitude;Longitude;LatitudeDD;LongitudeDD;sDuration;Year;Month;Day;Hour;Working;URL;Contents;
meta-cH7hJfL5O4UU.json;cH7hJfL5O4UU;2021:01:06 20:08:00;8.57 s;"38 deg 53' 23.64"" N";"77 deg 0' 37.80"" W";38.8899;-77.0105;8.57;2021;1;6;20;FALSE;https://video.parler.com/cH/7h/cH7hJfL5O4UU.mp4;;
meta-cHRjjrxdHl62.json;cHRjjrxdHl62;2021:01:06 17:13:04;0:00:36;"38 deg 53' 24.36"" N";"77 deg 2' 7.80"" W";38.8901;-77.0355;36;2021;1;6;17;FALSE;https://video.parler.com/cH/Rj/cHRjjrxdHl62.mp4;;
meta-cirqID5Kjxdp.json;cirqID5Kjxdp;2021:01:06 19:43:39;0:00:58;"38 deg 53' 25.80"" N";"77 deg 0' 34.20"" W";38.8905;-77.0095;58;2021;1;6;19;FALSE;https://video.parler.com/ci/rq/cirqID5Kjxdp.mp4;;
meta-CjBp5eYn9SIM.json;CjBp5eYn9SIM;2021:01:06 17:00:04;12.47 s;"38 deg 53' 37.32"" N";"77 deg 2' 12.12"" W";38.8937;-77.0367;12.47;2021;1;6;17;TRUE;https://video.parler.com/Cj/Bp/CjBp5eYn9SIM.mp4;;
meta-cJtt6jzaEVsY.json;cJtt6jzaEVsY;2021:01:06 18:55:09;13.26 s;"38 deg 53' 31.20"" N";"77 deg 1' 22.80"" W";38.892;-77.023;13.26;2021;1;6;18;TRUE;https://video.parler.com/cJ/tt/cJtt6jzaEVsY.mp4;;
meta-CKSVgexBTTpn.json;CKSVgexBTTpn;2021:01:06 18:21:56;18.68 s;"38 deg 53' 23.28"" N";"77 deg 0' 38.88"" W";38.8898;-77.0108;18.68;2021;1;6;18;TRUE;https://video.parler.com/CK/SV/CKSVgexBTTpn.mp4;;
meta-ckvcLvKYv4cd.json;ckvcLvKYv4cd;2021:01:06 20:10:24;18.61 s;"38 deg 53' 23.28"" N";"77 deg 0' 36.00"" W";38.8898;-77.01;18.61;2021;1;6;20;TRUE;https://video.parler.com/ck/vc/ckvcLvKYv4cd.mp4;;
meta-cl21yhY0WpGR.json;cl21yhY0WpGR;2021:01:06 19:06:53;0.60 s;"38 deg 53' 21.12"" N";"77 deg 1' 1.56"" W";38.8892;-77.0171;0.6;2021;1;6;19;FALSE;https://video.parler.com/cl/21/cl21yhY0WpGR.mp4;;
meta-CmTRG8bUhFov.json;CmTRG8bUhFov;2021:01:06 18:45:17;25.13 s;"38 deg 53' 24.72"" N";"77 deg 0' 37.08"" W";38.8902;-77.0103;25.13;2021;1;6;18;FALSE;https://video.parler.com/Cm/TR/CmTRG8bUhFov.mp4;;
meta-cmzbWnPI5Jgs.json;cmzbWnPI5Jgs;2021:01:06 19:09:54;0:04:31;"38 deg 53' 24.36"" N";"77 deg 0' 38.88"" W";38.8901;-77.0108;271;2021;1;6;19;TRUE;https://video.parler.com/cm/zb/cmzbWnPI5Jgs.mp4;;
meta-CN67oIug5zAh.json;CN67oIug5zAh;2021:01:06 19:14:26;16.68 s;"38 deg 53' 23.28"" N";"77 deg 0' 30.60"" W";38.8898;-77.0085;16.68;2021;1;6;19;FALSE;https://video.parler.com/CN/67/CN67oIug5zAh.mp4;;
meta-cnj6DJtVllfK.json;cnj6DJtVllfK;2021:01:06 19:33:02;0:00:43;"38 deg 53' 23.64"" N";"77 deg 0' 38.16"" W";38.8899;-77.0106;43;2021;1;6;19;FALSE;https://video.parler.com/cn/j6/cnj6DJtVllfK.mp4;;
meta-CNrWBNcfCr8w.json;CNrWBNcfCr8w;2021:01:06 19:57:52;9.81 s;"38 deg 53' 25.44"" N";"77 deg 0' 37.08"" W";38.8904;-77.0103;9.81;2021;1;6;19;FALSE;https://video.parler.com/CN/rW/CNrWBNcfCr8w.mp4;;
meta-cONvl0p08sMY.json;cONvl0p08sMY;2021:01:06 18:55:26;5.60 s;"38 deg 53' 24.72"" N";"77 deg 0' 37.44"" W";38.8902;-77.0104;5.6;2021;1;6;18;TRUE;https://video.parler.com/cO/Nv/cONvl0p08sMY.mp4;;
meta-cP14vEjjZT4J.json;cP14vEjjZT4J;2021:01:06 18:55:26;5.60 s;"38 deg 53' 24.72"" N";"77 deg 0' 37.44"" W";38.8902;-77.0104;5.6;2021;1;6;18;FALSE;https://video.parler.com/cP/14/cP14vEjjZT4J.mp4;;
meta-Cp1Hh3fxtldb.json;Cp1Hh3fxtldb;2021:01:06 17:00:04;20.09 s;"38 deg 53' 31.92"" N";"77 deg 2' 6.00"" W";38.8922;-77.035;20.09;2021;1;6;17;FALSE;https://video.parler.com/Cp/1H/Cp1Hh3fxtldb.mp4;;
meta-CPeuy7lOW44J.json;CPeuy7lOW44J;2021:01:06 22:37:11;0:02:53;"38 deg 53' 25.44"" N";"77 deg 0' 33.84"" W";38.8904;-77.0094;173;2021;1;6;22;FALSE;https://video.parler.com/CP/eu/CPeuy7lOW44J.mp4;;
meta-CpUWCstjFq4P.json;CpUWCstjFq4P;2021:01:06 14:32:48;16.81 s;"38 deg 54' 7.20"" N";"77 deg 1' 55.56"" W";38.902;-77.0321;16.81;2021;1;6;14;FALSE;https://video.parler.com/Cp/UW/CpUWCstjFq4P.mp4;;
meta-CQtHtEEczheT.json;CQtHtEEczheT;2021:01:06 18:17:50;10.37 s;"38 deg 53' 29.40"" N";"77 deg 0' 54.72"" W";38.8915;-77.0152;10.37;2021;1;6;18;TRUE;https://video.parler.com/CQ/tH/CQtHtEEczheT.mp4;;
meta-csRsMMepEl92.json;csRsMMepEl92;2021:01:06 21:33:04;26.93 s;"38 deg 53' 24.36"" N";"77 deg 0' 36.00"" W";38.8901;-77.01;26.93;2021;1;6;21;FALSE;https://video.parler.com/cs/Rs/csRsMMepEl92.mp4;;
meta-CtpFcLr34Uql.json;CtpFcLr34Uql;2021:01:06 16:58:02;28.39 s;"38 deg 53' 30.12"" N";"77 deg 2' 8.16"" W";38.8917;-77.0356;28.39;2021;1;6;16;TRUE;https://video.parler.com/Ct/pF/CtpFcLr34Uql.mp4;;
meta-CVJciWvfzVc1.json;CVJciWvfzVc1;2021:01:06 22:10:43;21.97 s;"38 deg 53' 24.00"" N";"77 deg 0' 36.00"" W";38.89;-77.01;21.97;2021;1;6;22;FALSE;https://video.parler.com/CV/Jc/CVJciWvfzVc1.mp4;;
meta-cwoMBUgoUj8T.json;cwoMBUgoUj8T;2021:01:06 23:02:25;23.87 s;"38 deg 53' 26.52"" N";"77 deg 0' 43.20"" W";38.8907;-77.012;23.87;2021;1;6;23;TRUE;https://video.parler.com/cw/oM/cwoMBUgoUj8T.mp4;;
meta-CWyeMEaKCWud.json;CWyeMEaKCWud;2021:01:06 18:20:57;8.67 s;"38 deg 53' 32.28"" N";"77 deg 2' 11.04"" W";38.8923;-77.0364;8.67;2021;1;6;18;FALSE;https://video.parler.com/CW/ye/CWyeMEaKCWud.mp4;;
meta-CxuimH5Nb5do.json;CxuimH5Nb5do;2021:01:06 17:47:37;0:00:33;"38 deg 53' 26.88"" N";"77 deg 2' 13.56"" W";38.8908;-77.0371;33;2021;1;6;17;TRUE;https://video.parler.com/Cx/ui/CxuimH5Nb5do.mp4;;
meta-CZgJF11YMHNh.json;CZgJF11YMHNh;2021:01:06 19:31:05;17.21 s;"38 deg 53' 26.52"" N";"77 deg 0' 33.84"" W";38.8907;-77.0094;17.21;2021;1;6;19;FALSE;https://video.parler.com/CZ/gJ/CZgJF11YMHNh.mp4;;
meta-cZP6tyoSFNCq.json;cZP6tyoSFNCq;2021:01:06 19:57:52;9.81 s;"38 deg 53' 25.44"" N";"77 deg 0' 37.08"" W";38.8904;-77.0103;9.81;2021;1;6;19;FALSE;https://video.parler.com/cZ/P6/cZP6tyoSFNCq.mp4;;
meta-D1hTLKXn3FIC.json;D1hTLKXn3FIC;2021:01:06 16:32:43;16.91 s;"38 deg 53' 31.56"" N";"77 deg 2' 12.48"" W";38.8921;-77.0368;16.91;2021;1;6;16;TRUE;https://video.parler.com/D1/hT/D1hTLKXn3FIC.mp4;;
meta-D1nBUG3Qu3sw.json;D1nBUG3Qu3sw;2021:01:06 21:06:51;25.10 s;"38 deg 53' 22.56"" N";"77 deg 0' 36.72"" W";38.8896;-77.0102;25.1;2021;1;6;21;TRUE;https://video.parler.com/D1/nB/D1nBUG3Qu3sw.mp4;;
meta-d1zM5ane4tm1.json;d1zM5ane4tm1;2021:01:06 14:05:02;5.43 s;"38 deg 53' 31.20"" N";"77 deg 2' 7.80"" W";38.892;-77.0355;5.43;2021;1;6;14;TRUE;https://video.parler.com/d1/zM/d1zM5ane4tm1.mp4;;
meta-d5Xmqp4NDLs6.json;d5Xmqp4NDLs6;2021:01:06 19:13:29;0:01:53;"38 deg 53' 24.72"" N";"77 deg 0' 43.20"" W";38.8902;-77.012;113;2021;1;6;19;TRUE;https://video.parler.com/d5/Xm/d5Xmqp4NDLs6.mp4;;
